Sentence;Extracted Element 1;Associated Element 1;Extracted Element 2;Associated Element 2;Extracted Element 3;Associated Element 3;Note
Herr IM, geboren am [Date of Birth], war von [Start Date] bis zum [End Date] in unserem Unternehmen als Informatiker EFZ-Berufslernender mit Schwerpunkt Applikationsentwicklung tï¿½tig.\n;None;;;;;;
Zuletzt lernte und arbeitete Herr IM bei unserem Mitglied [Company Name].\n;None;;;;;;
Im Rahmen seiner Ausbildung unterstï¿½tzte er das PCSS-Team (Production Control & Service SW) mit SubOperationen (SW-Komponenten) fï¿½r die Fertigung von von optoelektronischen Instrumenten.;None;;;;;;
Hervorzuheben sind Herrn IMs sehr gute Sprachkenntnisse, die er beruflich regelmï¿½ssig anwendete.\n;Sprachkenntnisse;Sprachliche Fertigkeiten;;;;;
Er dachte aktiv mit und setzte Vorhaben rasch um.\n;None;;;;;;
Die vereinbarten Zielsetzungen wurden immer eingehalten. ;None;;;;;;
Er erfï¿½llte unsere Erwartungen in jeder Hinsicht.;None;;;;;;
Herr IM hat sich ein fundiertes und praxisorientiertes Fachwissen angeeignet, das fï¿½r den Betrieb von grossem Nutzen war.\n;None;;;;;;
Er kannte und beachtete die Vorgaben zur Arbeitssicherheit, Gesundheit und Umweltschutz gut.\n;Arbeitssicherheit;Arbeitsschutz;Gesundheitsschutz;Gesundheitsschutz- und Sicherheitsvorschriften;Umweltschutz;Umwelt;Note: These are the only elements that come from ESCO. 
Er beherrschte seinen Arbeitsbereich autonom und sehr sicher, wobei seine Leistungen unsere Erwartungen oft ï¿½bertrafen.\n;beherrschte seinen Arbeitsbereich autonom;Unabhängigkeit;;;;;
Herr IM konnte klar Prioritï¿½ten setzen, wodurch er die an ihn gestellten Erwartungen oder die gesetzten Ziele regelmï¿½ssig erreichte und teilweise gar ï¿½bertraf.\n;Prioritï¿½ten setzen;Organisieren, Planen und Priorisieren der eigenen Arbeit;gesetzten Ziele regelmï¿½ssig erreichte ;Selbstorganisation;;;
Er verband die Theorie nutzbringend mit der Praxis und fï¿½hrte seine Aufgaben korrekt aus.\n;None;;;;;;
Der Zeitaufwand entsprach oder unterschritt unsere Vorstellungen.;None;;;;;;
Herr IM reagierte offen auf neue Aufgaben, erkannte schnell das Wesentliche und behielt stets die ï¿½bersicht.\n;erkannte schnell das Wesentliche;Beurteilung der Qualitäten von Objekten, Dienstleistungen oder Personen;behielt stets die ï¿½bersicht;Aufnahmefähigkeit;;;
Er stellte sinnvolle Rï¿½ckfragen, beachtete wirtschaftliche Aspekte und hielt die Arbeitsablï¿½ufe und -prozesse jederzeit ein.\n;None;;;;;;
Die Qualitï¿½t seiner Arbeit entsprach immer unseren hohen Erwartungen.\n;None;;;;;;
Da Herr XX eine gute Methodenkompetenz besitzzt, war auch in schwierigen Situationen Verlass auf ihn und auch unter starker Belastung zeichneten ihn Sorgsamkeit und Genauigkeit aus. ;Verlass auf ihn;Verlässlichkeit;Sorgsamkeit;Genauigkeit;Genauigkeit;Genauigkeit;
Er verfï¿½gt ï¿½ber grosses organisatorisches Geschick und eine gute Problemlï¿½sungsfï¿½higkeit.\n;grosses organisatorisches Geschick;Organisationsfähigkeit;gute Problemlösungsfähigkeit;Problemlösungsfähigkeit;;;
Herr IM interessierte sich sehr fï¿½r ï¿½kologisches Verhalten und ging mit Betriebsmitteln, die er sinnvoll nutzen konnte, sogfï¿½lltig um.\n;None;;;;;;
