unique_id	Level 2	alternative_names_clean
290	Adobe Certified Associate (ACA)	Adobe Creative Cloud Certified Associate, ACA InDesign Certification, Certified Adobe Associate, ACA Certification, Adobe Expert Certification, Adobe ACA Certification, Adobe Design Specialist, ACA, ACE (Adobe Certified Expert) Associate Level, Adobe Certified Associate in (insert software name)
291	Adobe Certified Expert (ACE) InDesign	Adobe ACE for InDesign, InDesign Expert Certification, Adobe Certified InDesign Specialist, Adobe InDesign ACE, ACE-qualified in Adobe InDesign, InDesign Certified Expert, ACE, Adobe Certified InDesign Expert, Adobe Accredited Expert in InDesign, Certified InDesign Professional (ACE), ACE InDesign
292	Adobe Certified Expert (ACE) Illustrator	ACE for Adobe Illustrator proficiency, Adobe Certified Expert Illustrator, Adobe Illustrator Certified Expert, Adobe ACE in Illustration, Illustrator ACE certification, ACE Illustrator certification, ACE, Adobe ACE Illustrator, Certified Expert in Adobe Illustrator, ACE in Adobe Illustrator, Adobe Certification for Illustrator
293	Adobe Certified Expert (ACE) Acrobat	Adobe PDF Expert Certification, Adobe Acrobat ACE, ACE Acrobat Specialist, ACE in Adobe Document Management, Certified ACE for Acrobat DC, Adobe Acrobat Pro Certification, ACE, Adobe Acrobat Certification, Adobe Certified Acrobat Expert, ACE Adobe Acrobat Professional, Adobe Certified Expert in Acrobat Pro
294	Adobe Certified Expert (ACE) Design Master	Adobe Creative Suite Master, ACE Graphic Design Professional, ACE Master in Graphic Design., ACE Design Master, Adobe Certified Design Expert, Adobe Design Master, ACE Expert in Design, Adobe Certified Designer Master Level, ACE, Adobe Design Specialist, ACE Design Certification
295	Adobe Certified Expert (ACE) Design Specialist	Adobe Graphic Design Certification, Adobe ACE Design Expert, Adobe Certified Designer, Certified Adobe Design Specialist, ACE Design Specialist Certification, Adobe Creative Suite Design Expert, ACE, ACE Design Specialist, Adobe Certified Expert in Design, Adobe Design Certification, ACE Design Professional
296	Adobe Certified Instructor (ACI) InDesign	Adobe Certified Professional in InDesign, ACI InDesign, ACI, ACE (Adobe Certified Expert) in InDesign, ACI (Adobe Certified Instructor) for Desktop Publishing Using InDesign, Adobe InDesign Certified Trainer, Adobe InDesign Instructor Certification, Adobe Certified InDesign Expert, Adobe Creative Cloud Certified Specialist in InDesign, Adobe InDesign Authorized Trainer Certification
297	Adobe Certified Instructor (ACI) Illustrator	Adobe Certified Trainer - Illustrator, Adobe Instructor Certification - Illustrator, ACI (Illustrator), ACI, ACI Illustrator, Adobe Certification - Illustrator Training, ACI (Adobe Certified Instructor) for Illustrator, ACE (Adobe Certified Expert) for Illustrator, ACI-IL (Adobe Certified Instructor – Illustrator), Adobe Certified Illustrator, Adobe CC Certified Instructor - Illustrator
298	Adobe Certified Instructor (ACI) Acrobat	Certified Adobe Acrobat Trainer, Adobe ACI Acrobat, Adobe ACE (Adobe Certified Expert) in Acrobat, ACI, Adobe Certified Acrobat Instructor, ACI Acrobat Certification, ACI in Adobe Acrobat, Adobe Acrobat Training Certification, Expert in Adobe Acrobat, Certified Instructor for Adobe Acrobat
299	Adobe Certified Instructor (ACI) Digital Publishing Suite	Certified Instructor for Adobe DPS, ACI - Digital Publishing Specialist, ACI, ACI for Digital Publishing Suite, Adobe Digital Publishing Suite Training Certification, Adobe Certified Instructor (ACI) DPS, ACI Digital Publishing Suite Expert, ACI in DPS Training and Certification, Adobe Certified Instructor for Digital Publishing, Adobe DPS Instructor Certification, Adobe DPS Certified Trainer
