unique_id,Level 1,Level 2,Level 1.5,alternative_names
290,Certifications,Adobe Certified Associate (ACA),ADOBE CERTIFICATIONS,"ACA, Certified Adobe Associate, Adobe ACA Certification, Adobe Certified Associate in (insert software name), ACA Certification, Adobe Expert Certification, Adobe Design Specialist, ACE (Adobe Certified Expert) Associate Level, Adobe Creative Cloud Certified Associate, ACA InDesign Certification, , ACA"
291,Certifications,Adobe Certified Expert (ACE) InDesign,ADOBE CERTIFICATIONS,"Adobe InDesign ACE, ACE InDesign, Adobe Certified InDesign Expert, InDesign Certified Expert, Adobe ACE for InDesign, InDesign Expert Certification, Adobe Certified InDesign Specialist, ACE-qualified in Adobe InDesign, Certified InDesign Professional (ACE), Adobe Accredited Expert in InDesign, , ACE"
292,Certifications,Adobe Certified Expert (ACE) Illustrator,ADOBE CERTIFICATIONS,"Adobe ACE Illustrator, Adobe Certified Expert Illustrator, Illustrator ACE certification, ACE in Adobe Illustrator, Adobe Illustrator Certified Expert, ACE Illustrator certification, Certified Expert in Adobe Illustrator, Adobe ACE in Illustration, ACE for Adobe Illustrator proficiency, Adobe Certification for Illustrator, , ACE"
293,Certifications,Adobe Certified Expert (ACE) Acrobat,ADOBE CERTIFICATIONS,"Adobe Acrobat ACE, Adobe Certified Acrobat Expert, ACE Acrobat Specialist, Adobe Acrobat Certification, Adobe Certified Expert in Acrobat Pro, ACE Adobe Acrobat Professional, Adobe PDF Expert Certification, Certified ACE for Acrobat DC, ACE in Adobe Document Management, Adobe Acrobat Pro Certification, , ACE"
294,Certifications,Adobe Certified Expert (ACE) Design Master,ADOBE CERTIFICATIONS,"Adobe Design Master, ACE Design Master, Adobe Certified Design Expert, ACE Design Certification, Adobe Creative Suite Master, ACE Expert in Design, Adobe Design Specialist, ACE Graphic Design Professional, Adobe Certified Designer Master Level, ACE Master in Graphic Design., , ACE"
295,Certifications,Adobe Certified Expert (ACE) Design Specialist,ADOBE CERTIFICATIONS,"Adobe ACE Design Expert, ACE Design Specialist, Adobe Certified Expert in Design, Adobe Design Certification, ACE Design Professional, Certified Adobe Design Specialist, Adobe Creative Suite Design Expert, Adobe Graphic Design Certification, ACE Design Specialist Certification, Adobe Certified Designer, , ACE"
296,Certifications,Adobe Certified Instructor (ACI) InDesign,ADOBE CERTIFICATIONS,"Adobe InDesign Certified Trainer, ACI InDesign, Adobe Certified InDesign Expert, Adobe InDesign Instructor Certification, ACE (Adobe Certified Expert) in InDesign, Adobe InDesign Authorized Trainer Certification, ACI (Adobe Certified Instructor) for Desktop Publishing Using InDesign, Adobe Certified Professional in InDesign, ACE (Adobe Certified Expert) - Print & Digital Media Publication Using InDesign, Adobe Creative Cloud Certified Specialist in InDesign, , ACI"
297,Certifications,Adobe Certified Instructor (ACI) Illustrator,ADOBE CERTIFICATIONS,"ACI Illustrator, Adobe Certified Illustrator, ACI (Adobe Certified Instructor) for Illustrator, Adobe Certified Trainer - Illustrator, ACI (Illustrator), Adobe Instructor Certification - Illustrator, ACE (Adobe Certified Expert) for Illustrator, Adobe Certification - Illustrator Training, ACI-IL (Adobe Certified Instructor – Illustrator), Adobe CC Certified Instructor - Illustrator, , ACI"
298,Certifications,Adobe Certified Instructor (ACI) Acrobat,ADOBE CERTIFICATIONS,"Adobe Certified Instructor (ACI) Acrobat, Adobe Certified Acrobat Instructor, Adobe ACI Acrobat, ACI Acrobat Certification, Certified Instructor for Adobe Acrobat, ACI in Adobe Acrobat, Adobe Acrobat Training Certification, Certified Adobe Acrobat Trainer, Adobe ACE (Adobe Certified Expert) in Acrobat, Expert in Adobe Acrobat, , ACI"
299,Certifications,Adobe Certified Instructor (ACI) Digital Publishing Suite,ADOBE CERTIFICATIONS,"Adobe Certified Instructor (ACI) DPS, ACI Digital Publishing Suite Expert, Adobe DPS Certified Trainer, ACI for Digital Publishing Suite, Adobe DPS Instructor Certification, Certified Instructor for Adobe DPS, ACI - Digital Publishing Specialist, Adobe Digital Publishing Suite Training Certification, ACI in DPS Training and Certification, Adobe Certified Instructor for Digital Publishing, , ACI"
