ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
2.1.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Ideengenerierung		Fertigkeit, Probleme zu erkennen und (viele und/oder originelle) Ideen zu generieren 													Gestaltung und Problemlösung
2.1.1.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Ideengenerierung	Problembewusstsein	Erkennen, wann etwas falsch ist oder wahrscheinlich schief gehen wird. Es geht nicht darum, das Problem zu lösen, sondern nur zu erkennen, dass es ein Problem gibt.												https://www.onetonline.org/find/descriptor/result/1.A.1.b.3	
2.1.1.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Ideengenerierung	Einfallsreichtum	Ideen zu einem Thema generieren (die Anzahl der Ideen ist wichtig, nicht ihre Qualität, Korrektheit oder Kreativität).												https://www.onetonline.org/find/descriptor/result/1.A.1.b.1	
2.1.1.3	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Ideengenerierung	Originalität 	Ungewöhnliche, clevere, krative Ideen oder Lösungsansätze zu einem Thema, einer Situation oder einem Problem generieren. 												https://www.onetonline.org/find/descriptor/result/1.A.1.b.2	
2.1.1.4	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Idea Generation and Reasoning	Deductive Reasoning	The ability to apply general rules to specific problems to produce answers that make sense.													
2.1.1.5	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Idea Generation and Reasoning	Inductive Reasoning	The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).													
2.1.1.6	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Idea Generation and Reasoning	Information Ordering	The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).													
2.1.1.7	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Idea Generation and Reasoning	Category Flexibility	The ability to generate or use different sets of rules for combining or grouping things in different ways.													
2.1.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Informations- und Datenverarbeitung		Fertigkeiten, die das Erfassen, Verarbeiten, Analysieren und Beurteilen von Daten oder Informationen beeinflussen. 													Umgang mit Komplexität; Abstraktionsvermögen
2.1.2.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Informations- und Datenverarbeitung	Aufnahmefähigkeit	Die Fähigkeit, Informationen schnell zu erfassen, zu kombinieren und zu sinnvollen Mustern zu ordnen.												https://www.onetonline.org/find/descriptor/result/1.A.1.e.1	
