unique_id	Level 2	alternative_names_clean
133	Microsoft Excel	MS Office Excel, Microsoft's data analysis tool, Workbook software by Microsoft, Excel program, Spreadsheet application from Microsoft, Microsoft's electronic spreadsheet tool, MS Excel, Excel, Spreadsheet program by Microsoft, Microsoft's spreadsheet software
134	Microsoft Office software	Microsoft's office applications, MS Office, Office application suite by Microsoft, Office software, Suite of productivity software by Microsoft, Microsoft's document management tools, Microsoft's productivity suite, Office program by Microsoft, Microsoft Office suite, Microsoft's business software
135	Microsoft PowerPoint	Presentation tool by Microsoft, MS PowerPoint, Microsoft's presentation application, PowerPoint program, Presentation software by Microsoft, Microsoft's slide deck software, Slide presentation program, PowerPoint, PPT
136	Microsoft Outlook	Microsoft's communication tool, Outlook, Email management software by Microsoft, Microsoft's email application, Microsoft's messaging platform, Email client by Microsoft, Outlook program, Outlook software, MS Outlook
137	Microsoft Word	Word software, Microsoft's document processor, Text editor by Microsoft, Microsoft's text editing tool, Word, Word program, MS Word, Microsoft's word processing application, Document software by Microsoft
138	Structured query language SQL	Structured database query language, Structured data querying language, Query language SQL, SQL programming language, SQL, Relational database language SQL, SQL scripting language, Database management system query language, Database query language SQL, Standardized query language
139	Python	Programming language by Guido van Rossum, Object-oriented scripting language, Scripting language by Guido van Rossum
140	Oracle Java	Oracle's Java, Oracle's development platform, Java programming language, Software development framework by Oracle, Java, Java platform by Oracle, Oracle's application development tool, Object-oriented programming language by Oracle, Oracle's programming language, Java software by Oracle
141	Amazon Web Services AWS software	AWS platform, Amazon's web hosting service, Amazon AWS, AWS platform as a service, Amazon's cloud infrastructure service, AWS, AWS software, Cloud computing by Amazon, Amazon cloud services, Amazon Web Services
142	JavaScript	Language used for interactivity on websites, Web scripting language, JS scripting language, ECMAScript, Client-side scripting language, Front-end programming language, Scripting language for web development, Programming language for dynamic web content, Browser-based programming language, JS
143	SAP software	SAP platform, SAP, SAP application, SAP business software, SAP technology stack, Enterprise resource planning by SAP, SAP ERP software, SAP system, SAP solution
144	Microsoft Azure software	Azure, Azure platform, Microsoft's cloud technology, Microsoft's cloud computing solution, Azure ecosystem, Azure software, Microsoft Azure, Microsoft's cloud-based software, Azure services, Microsoft's cloud platform
145	Microsoft Access	MS Access, Microsoft's data storage tool, Microsoft's relational database software, Database program by Microsoft, Database application by Microsoft, Access program, Access, Access software, Microsoft database software, Microsoft's database management system
146	Linux	Free and open-source software (FOSS), Unix-like operating system, Open-source operating system
147	Hypertext markup language HTML	Hypertext markup code, Web design language, HTML code, HTML, HTML5, HyperText Markup Language, Web development language, Markup language for the web, Web coding language
148	Atlassian JIRA	JIRA application, Atlassian's ticketing system, JIRA, JIRA platform, JIRA by Atlassian, Atlassian's bug tracking tool., JIRA software, Atlassian's project management software, Atlassian's issue tracking system
149	Tableau	
150	Cascading style sheets CSS	Styling language for HTML, CSS3, Cascading stylesheets, CSS framework, Stylesheet language, Web styling language, Style sheets, CSS, Styling technology for webpages
151	Microsoft SharePoint	MS SharePoint, SharePoint program, SharePoint, Microsoft's team collaboration tool, SharePoint software, Content management system by Microsoft, Microsoft's document management system, Intranet solution by Microsoft, Collaboration platform by Microsoft
152	Git	Code repository management software
153	C#	C sharp language, Programming language similar to Java and C++, Language used in .NET development, C Sharp, .NET language by Microsoft, Object-oriented language from Microsoft, C sharp programming platform, C number sign, C hash
154	React	Front-end framework by Facebook, JavaScript library for building user interfaces, Declarative JavaScript library, UI development library by Facebook
155	Google Angular	Google's web application framework, Google's JavaScript framework, JavaScript library by Google, Google's Angular, AngularJS, Angular framework, Angular development platform, Angular software, AngularJS by Google, Google's front-end framework
156	C++	Object-oriented C, General-purpose programming language with a bias towards systems programming, C-based object-oriented programming language, High-level programming language for systems development, C language extension, C with classes, Cplusplus, C plus plus, CPP
157	Docker	Containerization tool, D-Tech
158	Kubernetes	Cluster management system, Kube system, Container orchestration tool, Container management framework, K8s, Open-source containerization platform, Cloud-native application deployment tool
159	R	Scripting language for data analysis and visualization
160	Google Workspace software	Google's collaboration tools, Google Sheets, Workspace by Google, Google Docs, Google Drive apps, Google's office software, Google Slides, Cloud-based productivity tools by Google, G Suite, Google's productivity suite
161	Autodesk AutoCAD	AutoCAD, AutoCAD program, Autodesk's AutoCAD, Autodesk's design and documentation tool, AutoDesk's drafting tool, AutoCAD software, CAD software by Autodesk, 2D and 3D drafting tool by Autodesk, AutoDesk's computer-aided drafting software, Computer-aided design software by Autodesk
162	Microsoft Visio	Visio software, Visualization tool by Microsoft, Microsoft's flowcharting and diagramming application, Visio program, MS Visio, Visio, Microsoft's visual communication software, Diagramming tool by Microsoft
163	Jenkins CI	CI/CD tool by Jenkins, Automation framework by Jenkins, Jenkins build server, Build and deployment tool - Jenkins, Jenkins automation server, Jenkins, Jenkins continuous integration, CI tool by Jenkins, Jenkins pipeline tool, Continuous integration with Jenkins
164	Node.js	NodeJS, Node, Backend JavaScript platform, JavaScript runtime built on Chrome's V8 engine, Platform for building scalable network applications using JavaScript, Node JavaScript, Server-side runtime for executing JavaScript, Runtime environment for executing JavaScript code server-side, Event-driven I/O server-side platform, Server-side JavaScript framework
165	Adobe Systems Adobe Photoshop	Photoshop, Photoshop software by Adobe Systems, Photoshop program by Adobe Systems, Graphic design program by Adobe Systems, Adobe's digital imaging tool, Adobe's photo editing application, Adobe's graphic design tool, Adobe Photoshop, Adobe's image editing software, Image editing software by Adobe Systems
166	Intuit QuickBooks	QuickBooks online, Intuit's financial management tool, QuickBooks, Intuit's accounting software, QuickBooks program, Intuit's bookkeeping application, Financial software by Intuit, QuickBooks by Intuit, Small business accounting solution by Intuit, QuickBooks software
167	UNIX	Unix environment, Unix-like platform, Unix-based, Unix-like, Unix-like system
168	C	Structured high-level language
169	Zoom	
170	Microsoft Active Directory	Active Directory, Microsoft's identity management system, AD, Microsoft AD, Windows domain controller, Microsoft's centralized authentication and authorization framework., LDAP service by Microsoft, Windows directory service, Microsoft's directory service, Windows Active Directory
171	Microsoft Windows	Windows OS, Windows operating system, Microsoft platform, Windows software, Windows environment, Windows platform, Microsoft operating system, Microsoft ecosystem, Microsoft OS, Microsoft software
172	Apple iOS	Apple's smartphone OS, Apple's mobile software, iOS ecosystem, iPhone operating system, Apple's iOS platform, iOS, iOS software, Mac OS for mobile devices, iPad/iPhone operating system, Apple's mobile operating system
173	Microsoft SQL Server	MS SQL Server, Microsoft's relational database software, SQL Server program by Microsoft, Microsoft's DBMS solution, Microsoft's data storage and retrieval system, Relational database management software from Microsoft, SQL Server by Microsoft, Database server software from Microsoft, Microsoft's database management system, SQL Server
174	SAS	Statistical Analysis System
175	Extensible markup language XML	XML, XML document format, Markup language XML, W3C's XML specification, Data interchange format XML, Document structure language XML, eXtensible markup language, XML data representation, XML schema language, Text-based data storage format
176	Microsoft Project	Project management software by Microsoft, Microsoft's project planning software, Project by Microsoft, Microsoft's task management tool, Task planner by Microsoft., Microsoft's project management software, Microsoft's scheduling tool, Project, MS Project, Microsoft's planning application
177	ServiceNow	SNOW platform, Service management software by Now Inc., SNOW software, Enterprise service management solution
178	NoSQL	document-oriented database, alternative to relational databases, unstructured data storage solution, distributed database system without SQL constraints, non-relational database, non-SQL database, schema-less database
179	Apache Spark	Distributed computing engine by Apache, Open-source cluster computing system, Data processing framework by Apache, In-memory analytics engine by Apache, Spark platform, Spark, Real-time data processing framework by Apache, Big data analytics software by Apache, Apache's big data processing tool
180	Adobe Systems Adobe Illustrator	Adobe's drawing tool, Illustrator, Adobe's vector graphics editor, Graphic design program by Adobe Systems, Adobe Illustrator, Illustrator software, Adobe's graphic design software, Vector graphics software by Adobe Systems, Adobe's illustration program, Drawing application by Adobe
181	JavaScript Object Notation JSON	JavaScript notation, JSON, JSON data structure, JSON encoding, JavaScript object representation, JSON syntax, JavaScript data interchange format, JavaScript object format, JSON format, JSON serialization
182	Microsoft Teams	Microsoft's team collaboration software, Teams, MS Teams, Microsoft's virtual meeting software, Collaboration tool by Microsoft, Team messaging app by Microsoft, Unified communication platform from Microsoft, Communication platform by Microsoft, Group chat application by Microsoft
183	Microsoft PowerShell	Microsoft's command-line shell, .NET-based automation and configuration framework by Microsoft, PowerShell scripting, Windows PowerShell, Windows command line tool by Microsoft, PowerShell, Microsoft automation framework, PowerShell Core, Microsoft's scripting language
