unique_id,Level 1,Level 2,Level 1.5,alternative_names
133,Technologies,Microsoft Excel,,"Sure! Here are 10 alternative names for Microsoft Excel that you can look for:

1. Excel
2. MS Excel
3. Microsoft's spreadsheet software
4. Spreadsheet program by Microsoft
5. Microsoft's data analysis tool
6. Workbook software by Microsoft
7. Spreadsheet application from Microsoft
8. Excel program
9. Microsoft's electronic spreadsheet tool
10. MS Office Excel

Please note that this is just a list of suggestions, and it may vary depending on the context in which these terms are used in the document you're referencing.

Let me know if there's anything else I can assist you with!"
134,Technologies,Microsoft Office software,,"Office software, Microsoft Office suite, Microsoft's productivity suite, MS Office, Microsoft's office applications, Office program by Microsoft, Microsoft's document management tools, Suite of productivity software by Microsoft, Office application suite by Microsoft, Microsoft's business software"
135,Technologies,Microsoft PowerPoint,,"PowerPoint, PPT, MS PowerPoint, Microsoft PowerPoint, Presentation software by Microsoft, Microsoft's presentation application, PowerPoint program, Presentation tool by Microsoft, Microsoft's slide deck software, Slide presentation program"
136,Technologies,Microsoft Outlook,,"Outlook, MS Outlook, Microsoft Outlook, Email client by Microsoft, Microsoft's email application, Outlook program, Outlook software, Microsoft's communication tool, Email management software by Microsoft, Microsoft's messaging platform"
137,Technologies,Microsoft Word,,"Word, MS Word, Microsoft Word, Document software by Microsoft, Microsoft's word processing application, Word program, Word software, Microsoft's text editing tool, Microsoft's document processor, Text editor by Microsoft"
138,Technologies,Structured query language SQL,,"SQL, Query language SQL, Database query language SQL, Relational database language SQL, Structured database query language, SQL programming language, Standardized query language, Structured data querying language, SQL scripting language, Database management system query language"
139,Technologies,Python,,"Python, Python programming language, Python script, Python code, Python scripting language, Scripting language by Guido van Rossum, Python software, Programming language by Guido van Rossum, Python programming tool, Object-oriented scripting language"
140,Technologies,Oracle Java,,"Java, Oracle's Java, Java programming language, Oracle's programming language, Java software by Oracle, Oracle's development platform, Java platform by Oracle, Oracle's application development tool, Object-oriented programming language by Oracle, Software development framework by Oracle"
141,Technologies,Amazon Web Services AWS software,,"AWS, Amazon AWS, Amazon Web Services, AWS software, AWS platform, Amazon cloud services, Amazon's web hosting service, Cloud computing by Amazon, Amazon's cloud infrastructure service, AWS platform as a service"
142,Technologies,JavaScript,,"JS, ECMAScript, JS scripting language, Client-side scripting language, Web scripting language, Front-end programming language, Scripting language for web development, Language used for interactivity on websites, Browser-based programming language, Programming language for dynamic web content"
143,Technologies,SAP software,,"SAP, SAP system, SAP solution, SAP application, SAP platform, SAP software suite, SAP ERP software, SAP business software, SAP technology stack, Enterprise resource planning by SAP"
144,Technologies,Microsoft Azure software,,"Azure, Microsoft Azure, Azure software, Microsoft's cloud platform, Azure services, Microsoft's cloud computing solution, Azure platform, Microsoft's cloud technology, Azure ecosystem, Microsoft's cloud-based software"
145,Technologies,Microsoft Access,,"Access, MS Access, Microsoft's database management system, Microsoft database software, Database application by Microsoft, Microsoft's data storage tool, Access program, Access software, Microsoft's relational database software, Database program by Microsoft"
146,Technologies,Linux,,"Linux OS, GNU/Linux, Linux kernel, Open-source operating system, Linux-based system, Unix-like operating system, Linux distribution, Linux platform, Linux environment, Free and open-source software (FOSS)"
147,Technologies,Hypertext markup language HTML,,"HTML, HyperText Markup Language, Web coding language, Markup language for the web, HTML5, Web development language, Web design language, HTML code, Hypertext markup code"
